Nom|Prénoms|naissance|décès|Nation|Diocèse|Collège d'études|année de référence|Collège du premier poste|Fonction du premier poste|1ère année attestée du 1er poste|date ultime attestée du 1er poste|Collège du deuxième poste|Fonction du deuxième poste|1ère date attestée du deuxième poste|date ultime attestée du deuxième poste|Collège du troisème poste|Fonction du troisième poste|1ère date attestée du troisième poste|Date ultime attestée du troisième poste|Autres informations|Premier grade connu|Second grade connu|Ordre sacré|Bénéfices|Engagement janséniste|Serment civique|Fonctions universitaires|Publications|Référence de la source 1|Référence de la source 2|Référence de la source 3|Autres références de source
Acher|Jean Baptiste|||Normandie|Rouen|Lisieux (1758 en 2e, 1750 en 1ère, noté au concours général)|1756|Lisieux|professeur de seconde|1756|1765||||||||||||||||||916363|H/3/2597|MSJF 414|
Achet|Louis Auguste|||France|Paris||1712||||||||||||||||clerc 1712||||||M3314|||
Adam|François||1714|Normandie|||1696|Harcourt|professeur de 5e|1696|1705|Harcourt|professeur d'humanités|1713|1713||||||||||||chapelain|aucune|REG10|||
Adam|Nicolas|1717|1792|France|Paris (Ville)||1748|Lisieux|professeur|1748|1748|Lisieux||||||||Deux homonymes différenciés par la date de demande d'une régence.|||acolyte 1748||||||M3316|Dictionnaire des lettres françaises||
Adam|Nicolas|||France|Paris (Ville)||1737|Lisieux|professeur de grammaire|1737|1737|Lisieux|professeur de rhétorique||1752|||||Deux homonymes différenciés par la date de demande d'une régence.|licencié en théologie||prêtre 1737|||||Essai en forme de mémoire sur l’éducation; La vraie manière d’apprendre une langue; voir la bibliographie du Dictionnaire des lettres françaises|U255|M3315|Dictionnaire des lettres françaises|
Adhenet|Charles|1729||France|Paris (Ville)||1756|||||||||||||Un Adhenet sans prénom dans La France littéraire 1778 est censeur royal de théologie et chanoine de Notre Dame.|licencié en droit||prêtre 1756|un Adhenet est chanoine de Notre-Dame en 1771-1780|||||M3316|||
Aherne||||Allemagne|||1768|Navarre|professeur de philosophie|1768|1768|Navarre|professeur de philosophie|1786|1789|||||Enseignait avant 1786, émérite en 1789. Est en  1768 professeur actif de Navarre et proposé comme juge de l'agrégation de philosophie, à nouveau en 1780. Prêtre habitué de St Étienne du Mont  en 1788.|||prêtre 1788|prêtre habitué de St Étienne de Mont en 1788|||||H/3/2754/A-B|MSJF 414 |Dainville-Barbiche.|
Alaret|Jacques|||France|Genève||1736||||||||||||||bachelier en théologie|docteur en théologie|||||||M3315|||
Allaire|Mathurin Antoine Aloïse|||France|Saint Brieuc||1732|Navarre|professeur de rhétorique|1732|1741|||||||||Nommé en 1732 à ce poste par le Cardinal de Fleury. Un Allaire (parent) était enseignant en 1719.|bachelier en théologie||prêtre 1732|||||Ludovico XV victori pacifico, cum ...Petrus Fromentin, eloquentiae in Mazarineo professor, publicam de pace oratinem, Universitatis nomine, aberet, die 23 julii 1739 ; une ode au Dauphin|M3315|U254|H/3/*/2597|
Allais|Jacques|||Normandie|||1719|Lisieux|professeur de 5e|1719|1719|||||||||Difficultés pour être admis car a déjà un bénéfice paroissial, un Allais est professeur de Mazarin en 1720 (H/3/*/2597).|||(bénéfice paroissial 1719)|(bénéfice paroissial 1719)|||||REG10|M3315||
Allan||||Picardie|||1790||agrégé|1790|1790|||||||||Sans poste. Un Pierre-Louis-Marie Allan de Boulogne/Mer est en 1788 second vicaire et sacristain de St Hippolyte, non jureur.||||vicaire St Hippolyte (identification incertaine)||non|||H/3/2754/A-B|Pisani|Dainville-Barbiche|
Allibert|Jean Pierre|||France|Paris (Ville)||1728||||||||||||||bachelier en théologie|||un Alibert est chanoine de la Ste chapelle de Vincennes 1755-80|||||M3315|||
Alloury|Guillaume Marie François|||France|Nevers||1755|St Michel|professeur de philosophie|1755|1755|||||||||En 1775 est seulement bachelier en théologie, aucune ancienne fonction enseignante n’est indiquée.|bachelier en théologie||acolyte et sous-diacre 1755||||||M3316|U25||
Amoloy|||||||1652|Beauvais|professeur|1652|1652||||||||||||||||||Reg 27|||
Ancelin|||||||1791|Navarre|professeur de 6e|1791|1793||||||||||||||||||H3 2563 (VI)|carton 26||
Andraud|François|||France|Clermont- Ferrand ||1738||||||||||||||bachelier en théologie||prêtre 1738||||||M3315|||
André|Claude|1743||France|Paris||1770|Plessis|professeur de philosophie|1770|1771|||||||||Simple maître ès arts en mars 1769, agrégé de philosophie le 12 mai 1770, examinateur du baccalauréat en 1771. Un Claude André de Lyon est docteur en théologie en 1775 (en U25).|||prêtre||||||M3317|||
André||||France|Grenoble||1701|Ste  Barbe|professeur de philosophie|1701|1701||||||||||||||||||M3314|||
Anfray||||Normandie|||1755||professeur de grammaire|1755|1755||||||||||||||||||H/3/*/2597|||
Anger|Germain|||Normandie|||1691|Lisieux|professeur d'humanités|1691|1691|Lisieux|professeur de 4e|1698|1698|Lisieux|professeur|1707|1707|Est classé parmi les professeurs émérites en 1719-1725.|bachelier en théologie||||||censeur 1705|aucune|REG10|H/3/*/2597||
Anglade|François||||||1790|Plessis|professeur de physique|1790|1791|||||||||Remplacé par Morea; réfractaire en 1791, était en poste depuis le 2/12/1790.||||||non|||H3 2563 (VI)|||
Angran (Angrain)|Jacques|||France||Plessis (y reçoit un prix)|1717|Navarre|professeur|1717|1737|||||||||Examinateur du baccalauréat en 1750. Un Jacques Angran a un prix au Plessis en rhétorique en 1705. Originaire d'Orléans ou de Tours|||clerc 1718||||||U253|U254|M3314|
Anquetil|||1721|Normandie|||1694|||||||||||||Avocat au Parlement.|licencié en droit|docteur en théologie|||||||REG10|||
Argenvillier (d’)|Louis  Antoine|||France|Paris (Ville)||1717|Narbonne|professeur de philosophie|1717|1717||||||||||||clerc||||||M3314|||
Argoud|Claude|||France|Vienne||1706|Montaigu|professeur|1706|1717|Montaigu|professeur d'humanités|1726|1737|||||Il figure dans les comptes du collège d’Autun en 1669. |||||||||U253|U254|M3314|M3315 ; BHVP2259 ; H/3/2899/5
Ariston|Louis|||France|Lyon||1705|Justice|régent|1705|1705||||||||||||clerc||||||M3314|||
Arnauld  (Arnaud)|Jean Gilbert|||France|Clermont- Ferrand ||1720||||||||||||||bachelier en théologie||clerc 1720||||||M3314|M3320||
Artaud|Pierre Joseph|1707|1760|France|Apt||1738|Cornouaille|professeur|1738|1738|||||||||Devient ensuite docteur en théologie (U25 en 1775); puis curé de St. Merry (1757) et évêque de Cavaillon.|bachelier en théologie|docteur en théologie|prêtre 1738|Cure de st Merry en 1744, évêché de Cavaillon||||Panégyrique de St Louis; Discours sur les mariages à l’occasion de la naissance de M. le duc de Bourgogne|M3315|||La France littéraire 1757, 1769 †
Artus|Alexis||1731|France|Autun (Ville)||1686|Navarre|principal des grammairiens|1686|1717||||||||||licencié en théologie||diacre 1686||||censeur procureur recteur 1686 et 1696-1697||U253|M3314|REG83|Jourdain
Asselin|André|||Normandie|||1697|La Marche|professeur de 6e|1697|1698|La Marche|professeur d'humanités|1705|1705|La Marche|professeur de 6e|1709|1709||||sous-diacre 1693, prêtre 1698||||||REG10|||
Asselin de Vaulegard|Gilles Thomas|1682|1767|Normandie|Bayeux||1730|Harcourt|principal|1730|1758|||||||||Né à Vire, mort à Issy, docteur en théologie en 1730. |bachelier en théologie|docteur en théologie||||||La mort de Thomas Corneille; La Religion, poème; Ode sur l'existence de Dieu; La foi et la paix; Discours sur divers sujets de religion et de morale (prix de poésie de l’académie française 1709, Jeux Floraux 1713).|REG10|AN 1739|Dictionnaire des lettres françaises|H/3/*/2818; H/3/*/2597 ; Oursel; La France littéraire 1757, 1769 †
Asselin de Vaulegard|Michel|||Normandie||Harcourt (boursier 1739-1746)|1753|Harcourt|professeur d'humanités|1753|1755|Harcourt|professeur de philosophie|1760|1773|||||Serait de Bayeux, mais identifié seulement par Michel Asselin pour cette information. Est en  1778 proposé comme juge à l'agrégation de philosophie. Famille de procureur au Châtelet.|||||||procureur 1755-1756||LP 11/62|H/3/2597|H/3/2754/A-B|H/3/*/2818 ; H/3/*/2597 ; 916 363; H/3/*/2818
Asseline|Jean René|1742||France|Paris (Ville)|Lisieux (en 3e en 1754, en sort en 1758 en 1 vet)|1763|Lombards|professeur de philosophie|1763|1763|||||||||Lauréat du concours général. Maître ès arts en 1760;  censeur royal de théologie; évêque en 1789, émigré en 1791, aumônier de Louis XVIII en 1807.  Un Jean Baptiste Asseline a une bourse au collège justice de 1772 à 1784. Décédé entre 1807 et 1813.||docteur en théologie|sous-diacre 1763, évêque en 1789|évêché de Boulogne||non, émigré||Thesis ...quis es egregius psaltes israel; Avis concernant l’exercice du saint ministère dans les circonstances présentes; Miroir du clergé; Cours de prônes; Pratiques et prières tirées des lettres de St François de Salles; Oeuvres choisies|M3317|Dictionnaire des lettres françaises|La France littéraire en 1778|
Assorty|François Louis André|||France|Paris||1712||||||||||||||bachelier en théologie|docteur en théologie|acolyte 1712||||||M3314|U253||
Aubert|Guillaume|||Normandie|||1669|Plessis|professeur de 4e|1669|1669|||||||||Professeur émérite en 1691. Un Aubert est boursier au collège d'Autun en 1640 (H/3/2899/3), et un autre professeur à La Marche en 1652.|||||||procureur 1670|aucune|REG10|||
Aubert|Jean||1650|Picardie|||1620|Harcourt|principal de l'exercice pendant 15 mois|1620|1620|Beauvais Puis Calvi|professeur de rhétorique|||Collège Royal|professeur de grec|1648|1650|Pressenti pour remplacer Travers à la tête du Plessis en 1632.||||meurt chanoine de Laon en 1650|||recteur 1623-1625||Bouquet|jourdain||
Aubert|||||||1652|La Marche|professeur|1652|1652||||||||||||||||||Reg 27|||
Aubey||||Normandie|||1773||professeur de grammaire|1773|1773|||||||||agrégé en 1770|||||||||H/3/*/2597|||
